no,kode_pos,kode_wilayah,prov_code,kab_code,kec_code,desa_code,full_code,is_kelurahan,is_desa,desa,kecamatan,dt2,kabupaten,provinsi,source_page
45680,23355,11.06.02.2003,11,06,02,2003,1106022003,0,1,Weu Raya,Lhoknga (Lho'nga),Kabupaten,Aceh Besar,Aceh (NAD),228
45796,86376,53.08.21.2013,53,08,21,2013,5308212013,0,1,Mukureku Sa'ate (Mukureku Sa Ate),Lepembusu Kelisoke,Kabupaten,Ende,Nusa Tenggara Timur (NTT),228
44413,22868,12.14.32.2002,12,14,32,2002,1214322002,0,1,Botohilisalo'o,Luahagundre Maniamolo,Kabupaten,Nias Selatan,Sumatera Utara,222
44454,22856,12.24.01.2006,12,24,01,2006,1224012006,0,1,Lombuza'ua (Lombuzaua),Lotu,Kabupaten,Nias Utara,Sumatera Utara,222
46010,94967,72.12.03.2007,72,12,03,2007,7212032007,0,1,Pa'awaru,Lembo Raya,Kabupaten,Morowali Utara,Sulawesi Tengah,230
46012,94967,72.12.03.2002,72,12,03,2002,7212032002,0,1,Po'ona,Lembo Raya,Kabupaten,Morowali Utara,Sulawesi Tengah,230
47294,84180,52.06.11.2006,52,06,11,2006,5206112006,0,1,Doro Oo (Doro O'o),Langgudu,Kabupaten,Bima,Nusa Tenggara Barat (NTB),236
47498,84181,52.06.17.2005,52,06,17,2005,5206172005,0,1,Ka'owa,Lambitu,Kabupaten,Bima,Nusa Tenggara Barat (NTB),237
47510,98973,94.05.21.2002,94,05,21,2002,9405212002,0,1,Wenggen'ambut,Lambewi,Kabupaten,Puncak,Papua Tengah,237
47816,22874,12.14.03.2003,12,14,03,2003,1214032003,0,1,Bawo'otalua (Bawootalua),Lahusa,Kabupaten,Nias Selatan,Sumatera Utara,239
47853,22858,12.24.11.2004,12,24,11,2004,1224112004,0,1,Tefa'o (Tefao),Lahewa Timur,Kabupaten,Nias Utara,Sumatera Utara,239
47864,22853,12.24.10.2007,12,24,10,2007,1224102007,0,1,Hilina'a (Hilina A),Lahewa,Kabupaten,Nias Utara,Sumatera Utara,239
47874,22853,12.24.10.2004,12,24,10,2004,1224102004,0,1,Sifaoro'asi (Sifaoroasi),Lahewa,Kabupaten,Nias Utara,Sumatera Utara,239
47875,22853,12.24.10.2019,12,24,10,2019,1224102019,0,1,Sihene'asi (Siheneasi),Lahewa,Kabupaten,Nias Utara,Sumatera Utara,239
47975,94661,72.02.03.2017,72,02,03,2017,7202032017,0,1,Rato'ombu,Lage,Kabupaten,Poso,Sulawesi Tengah,239
47607,91952,73.17.18.2006,73,17,18,2006,7317182006,0,1,To'lemo (To Lemo),Lamasi Timur,Kabupaten,Luwu,Sulawesi Selatan,238
47608,91952,73.17.09.2024,73,17,09,2024,7317092024,0,1,Awo' Gading,Lamasi,Kabupaten,Luwu,Sulawesi Selatan,238
47613,91952,73.17.09.2022,73,17,09,2022,7317092022,0,1,Se'pon (Se Pong),Lamasi,Kabupaten,Luwu,Sulawesi Selatan,238
47615,91952,73.17.09.2020,73,17,09,2020,7317092020,0,1,To'pongo (To Pongo),Lamasi,Kabupaten,Luwu,Sulawesi Selatan,238
48204,69164,35.26.12.2008,35,26,12,2008,3526122008,0,1,Baengas (Ba'engas),Labang,Kabupaten,Bangkalan,Jawa Timur,241
48345,86752,53.15.02.1022,53,15,02,1022,5315021022,1,0,Golo Ru'u,Kuwus,Kabupaten,Manggarai Barat,Nusa Tenggara Timur (NTT),241
46821,91921,73.17.12.2010,73,17,12,2010,7317122010,0,1,To'barru (Tobaru),Latimojong,Kabupaten,Luwu,Sulawesi Selatan,234
46822,91921,73.17.12.2012,73,17,12,2012,7317122012,0,1,To'lajuk,Latimojong,Kabupaten,Luwu,Sulawesi Selatan,234
46936,91998,73.17.10.2005,73,17,10,2005,7317102005,0,1,La'loa (La Loa),Larompong Selatan,Kabupaten,Luwu,Sulawesi Selatan,234
49219,93672,74.10.01.1016,74,10,01,1016,7410011016,1,0,Sara'ea,Kulisusu (Kalingsusu/Kalisusu),Kabupaten,Buton Utara,Sulawesi Tenggara,246
49234,94373,72.10.06.2008,72,10,06,2008,7210062008,0,1,O'o Parese (O'o),Kulawi Selatan,Kabupaten,Sigi,Sulawesi Tengah,246
49353,85551,53.02.27.2006,53,02,27,2006,5302272006,0,1,O'of (Oof),Kuatnana,Kabupaten,Timor Tengah Selatan,Nusa Tenggara Timur (NTT),246
48161,71361,63.07.03.2015,63,07,03,2015,6307032015,0,1,Murung Ta'al (Murung Taal),Labuan Amas Selatan,Kabupaten,Hulu Sungai Tengah,Kalimantan Selatan,240
