prov_code,kab_code,full_code,tipe,nama_kab_kota
18,11,1811,Kabupaten,Mesuji
18,12,1812,Kabupaten,Tulang Bawang Barat
18,13,1813,Kabupaten,Pesisir Barat
18,71,1871,Kota,Bandar Lampung
18,72,1872,Kota,Metro
19,01,1901,Kabupaten,Bangka
19,02,1902,Kabupaten,Belitung
19,03,1903,Kabupaten,Bangka Selatan
19,04,1904,Kabupaten,Bangka Tengah
19,05,1905,Kabupaten,Bangka Barat
19,06,1906,Kabupaten,Belitung Timur
19,71,1971,Kota,Pangkal Pinang
21,01,2101,Kabupaten,Bintan
21,02,2102,Kabupaten,Karimun
21,03,2103,Kabupaten,Natuna
21,04,2104,Kabupaten,Lingga
21,05,2105,Kabupaten,Kepulauan Anambas
21,71,2171,Kota,Batam
21,72,2172,Kota,Tanjung Pinang
31,01,3101,Kabupaten,Kepulauan Seribu
31,71,3171,Kota,Jakarta Pusat
31,72,3172,Kota,Jakarta Utara
31,73,3173,Kota,Jakarta Barat
31,74,3174,Kota,Jakarta Selatan
31,75,3175,Kota,Jakarta Timur
32,01,3201,Kabupaten,Bogor
32,02,3202,Kabupaten,Sukabumi
32,03,3203,Kabupaten,Cianjur
32,04,3204,Kabupaten,Bandung
32,05,3205,Kabupaten,Garut
32,06,3206,Kabupaten,Tasikmalaya
32,07,3207,Kabupaten,Ciamis
32,08,3208,Kabupaten,Kuningan
32,09,3209,Kabupaten,Cirebon
32,10,3210,Kabupaten,Majalengka
32,11,3211,Kabupaten,Sumedang
32,12,3212,Kabupaten,Indramayu
32,13,3213,Kabupaten,Subang
32,14,3214,Kabupaten,Purwakarta
32,15,3215,Kabupaten,Karawang
32,16,3216,Kabupaten,Bekasi
32,17,3217,Kabupaten,Bandung Barat
32,18,3218,Kabupaten,Pangandaran
32,71,3271,Kota,Bogor
32,72,3272,Kota,Sukabumi
32,73,3273,Kota,Bandung
32,74,3274,Kota,Cirebon
32,75,3275,Kota,Bekasi
32,76,3276,Kota,Depok
32,77,3277,Kota,Cimahi
32,78,3278,Kota,Tasikmalaya
32,79,3279,Kota,Banjar
33,01,3301,Kabupaten,Cilacap
33,02,3302,Kabupaten,Banyumas
33,03,3303,Kabupaten,Purbalingga
33,04,3304,Kabupaten,Banjarnegara
33,05,3305,Kabupaten,Kebumen
33,06,3306,Kabupaten,Purworejo
33,07,3307,Kabupaten,Wonosobo
33,08,3308,Kabupaten,Magelang
33,09,3309,Kabupaten,Boyolali
33,10,3310,Kabupaten,Klaten
33,11,3311,Kabupaten,Sukoharjo
33,12,3312,Kabupaten,Wonogiri
33,13,3313,Kabupaten,Karanganyar
33,14,3314,Kabupaten,Sragen
33,15,3315,Kabupaten,Grobogan
33,16,3316,Kabupaten,Blora
33,17,3317,Kabupaten,Rembang
33,18,3318,Kabupaten,Pati
33,19,3319,Kabupaten,Kudus
33,20,3320,Kabupaten,Jepara
33,21,3321,Kabupaten,Demak
33,22,3322,Kabupaten,Semarang
33,23,3323,Kabupaten,Temanggung
33,24,3324,Kabupaten,Kendal
33,25,3325,Kabupaten,Batang
33,26,3326,Kabupaten,Pekalongan
33,27,3327,Kabupaten,Pemalang
33,28,3328,Kabupaten,Tegal
33,29,3329,Kabupaten,Brebes
33,71,3371,Kota,Magelang
33,72,3372,Kota,Surakarta
33,73,3373,Kota,Salatiga
33,74,3374,Kota,Semarang
33,75,3375,Kota,Pekalongan
33,76,3376,Kota,Tegal
34,01,3401,Kabupaten,Kulon Progo
34,02,3402,Kabupaten,Bantul
34,03,3403,Kabupaten,Gunungkidul
34,04,3404,Kabupaten,Sleman
34,71,3471,Kota,Yogyakarta
35,01,3501,Kabupaten,Pacitan
35,02,3502,Kabupaten,Ponorogo
35,03,3503,Kabupaten,Trenggalek
35,04,3504,Kabupaten,Tulungagung
35,05,3505,Kabupaten,Blitar
35,06,3506,Kabupaten,Kediri
35,07,3507,Kabupaten,Malang
35,08,3508,Kabupaten,Lumajang
35,09,3509,Kabupaten,Jember
35,10,3510,Kabupaten,Banyuwangi
35,11,3511,Kabupaten,Bondowoso
35,12,3512,Kabupaten,Situbondo
35,13,3513,Kabupaten,Probolinggo
35,14,3514,Kabupaten,Pasuruan
35,15,3515,Kabupaten,Sidoarjo
35,16,3516,Kabupaten,Mojokerto
35,17,3517,Kabupaten,Jombang
35,18,3518,Kabupaten,Nganjuk
35,19,3519,Kabupaten,Madiun
35,20,3520,Kabupaten,Magetan
35,21,3521,Kabupaten,Ngawi
35,22,3522,Kabupaten,Bojonegoro
35,23,3523,Kabupaten,Tuban
35,24,3524,Kabupaten,Lamongan
35,25,3525,Kabupaten,Gresik
35,26,3526,Kabupaten,Bangkalan
35,27,3527,Kabupaten,Sampang
35,28,3528,Kabupaten,Pamekasan
